term,count,rank,freq_normalized,is_tofu
mercado,289,1,1.0,False
nao,237,2,0.8201,False
fundo,189,3,0.654,True
carteira,186,4,0.6436,False
fundos,183,5,0.6332,True
imagem,183,6,0.6332,False
renda,183,7,0.6332,True
trocar,181,8,0.6263,False
ativos,178,9,0.6159,False
dividendos,170,10,0.5882,True
empiricus,165,11,0.5709,False
risco,158,12,0.5467,False
investidores,157,13,0.5433,False
sobre,155,14,0.5363,False
acoes,153,15,0.5294,False
ainda,152,16,0.526,False
fiis,152,17,0.526,True
pode,137,18,0.474,False
todos,131,19,0.4533,False
segundo,128,20,0.4429,False
juros,124,21,0.4291,False
imobiliarios,110,22,0.3806,True
estados,110,23,0.3806,False
investimentos,108,24,0.3737,False
unidos,108,25,0.3737,False
empresas,108,26,0.3737,False
tambem,108,27,0.3737,False
antes,104,28,0.3599,False
investir,104,29,0.3599,False
investimento,103,30,0.3564,True
maior,102,31,0.3529,False
ver,101,32,0.3495,False
sao,100,33,0.346,False
apos,99,34,0.3426,False
inflacao,98,35,0.3391,False
energia,97,36,0.3356,False
voce,91,37,0.3149,False
financeiro,90,38,0.3114,False
enquanto,90,39,0.3114,False
alem,90,40,0.3114,False
informacoes,90,41,0.3114,False
artificial,86,42,0.2976,False
inteligencia,85,43,0.2941,False
credito,85,44,0.2941,False
maiores,83,45,0.2872,False
parte,82,46,0.2837,False
helicopteros,82,47,0.2837,False
arrow,81,48,0.2803,False
acordo,81,49,0.2803,False
mercados,80,50,0.2768,False
ate,77,51,0.2664,False
agenda,76,52,0.263,False
prazo,75,53,0.2595,False
rentabilidade,75,54,0.2595,False
investidor,75,55,0.2595,False
milhoes,75,56,0.2595,False
ano,74,57,0.2561,False
papel,74,58,0.2561,True
dias,73,59,0.2526,False
ira,73,60,0.2526,False
longo,71,61,0.2457,False
forma,70,62,0.2422,False
alta,69,63,0.2388,False
setor,69,64,0.2388,False
gestao,69,65,0.2388,True
petroleo,69,66,0.2388,False
valor,68,67,0.2353,False
primeiro,68,68,0.2353,False
junho,66,69,0.2284,False
global,66,70,0.2284,False
etfs,65,71,0.2249,False
cri,65,72,0.2249,False
rankings,65,73,0.2249,False
fixa,64,74,0.2215,False
medio,63,75,0.218,False
brasil,62,76,0.2145,False
tempo,62,77,0.2145,False
hoje,62,78,0.2145,False
cenario,62,79,0.2145,False
crescimento,62,80,0.2145,False
imobiliario,61,81,0.2111,True
infraestrutura,61,82,0.2111,False
meio,61,83,0.2111,False
rio,61,84,0.2111,False
recebiveis,61,85,0.2111,False
cra,61,86,0.2111,False
veja,60,87,0.2076,False
liquidez,60,88,0.2076,True
ipca,60,89,0.2076,False
preliminares,60,90,0.2076,False
dividendo,59,91,0.2042,True
cair,59,92,0.2042,False
principais,58,93,0.2007,False
vez,58,94,0.2007,False
precos,58,95,0.2007,False
tesouro,57,96,0.1972,False
continua,56,97,0.1938,False
empresa,56,98,0.1938,False
feira,56,99,0.1938,False
companhia,56,100,0.1938,False
proximos,55,101,0.1903,False
segue,54,102,0.1869,False
caso,54,103,0.1869,False
chocado,54,104,0.1869,False
desde,54,105,0.1869,False
periodo,53,106,0.1834,False
principal,53,107,0.1834,False
operacao,53,108,0.1834,False
forte,52,109,0.1799,False
economia,52,110,0.1799,False
disso,52,111,0.1799,False
podem,52,112,0.1799,False
conta,52,113,0.1799,False
semana,51,114,0.1765,False
buscados,51,115,0.1765,False
titulos,51,116,0.1765,False
dados,51,117,0.1765,False
janeiro,51,118,0.1765,False
meses,51,119,0.1765,False
banco,50,120,0.173,False
dia,50,121,0.173,False
nesse,50,122,0.173,False
radar,49,123,0.1696,False
embora,49,124,0.1696,False
bilhoes,49,125,0.1696,False
importante,48,126,0.1661,False
cotas,48,127,0.1661,True
riscos,48,128,0.1661,False
redes,48,129,0.1661,False
carteiras,48,130,0.1661,False
novo,48,131,0.1661,False
leitura,48,132,0.1661,False
outras,48,133,0.1661,False
outros,48,134,0.1661,False
mundo,47,135,0.1626,False
rendimentos,47,136,0.1626,False
cada,47,137,0.1626,False
maio,47,138,0.1626,False
capital,47,139,0.1626,False
trump,47,140,0.1626,False
bolsa,47,141,0.1626,False
jcp,47,142,0.1626,False
queda,47,143,0.1626,False
portfolio,47,144,0.1626,True
data,47,145,0.1626,False
post,46,146,0.1592,False
estrategia,46,147,0.1592,False
baixo,46,148,0.1592,False
nova,45,149,0.1557,False
busca,45,150,0.1557,False
tecnologia,45,151,0.1557,False
movimento,45,152,0.1557,False
cdi,45,153,0.1557,False
aeronaves,45,154,0.1557,False
anos,44,155,0.1522,False
bitcoin,44,156,0.1522,False
politica,44,157,0.1522,False
infra,44,158,0.1522,False
retorno,44,159,0.1522,False
research,44,160,0.1522,False
imoveis,44,161,0.1522,False
apenas,44,162,0.1522,False
tijolo,43,163,0.1488,True
assim,43,164,0.1488,False
sociais,43,165,0.1488,False
apesar,43,166,0.1488,False
agora,43,167,0.1488,False
outro,43,168,0.1488,False
valores,43,169,0.1488,False
acidente,43,170,0.1488,False
inicial,43,171,0.1488,False
right,42,172,0.1453,False
contra,42,173,0.1453,False
cerca,42,174,0.1453,False
qualidade,41,175,0.1419,False
mil,41,176,0.1419,False
especialmente,41,177,0.1419,False
processo,41,178,0.1419,False
conhecer,40,179,0.1384,False
min,40,180,0.1384,False
oriente,40,181,0.1384,False
preco,40,182,0.1384,False
conflito,39,183,0.1349,False
analista,39,184,0.1349,False
venda,39,185,0.1349,False
relevantes,39,186,0.1349,False
momento,39,187,0.1349,False
selic,39,188,0.1349,False
objetivos,39,189,0.1349,False
forca,38,190,0.1315,False
indice,38,191,0.1315,False
estao,38,192,0.1315,False
ferramentas,38,193,0.1315,False
apareceu,38,194,0.1315,False
tipo,38,195,0.1315,False
fiagro,38,196,0.1315,False
reproducao,38,197,0.1315,False
menos,38,198,0.1315,False
financeira,37,199,0.128,False
expansao,37,200,0.128,False
